"Distrito","Ingresos_Total","Gastos_Total","Personal_Limpieza","Residuos_Solidos","Personal_Vigilancia"
"CHACHAPOYAS",31477166.86,29581273.12,24,26000,8
"ASUNCION",1265551.6,976582.75,0,25,0
"BALSAS",1376502.78,1303334.7,1,10,0
"CHETO",2083770.19,2132187.2,0,140,0
"CHILIQUIN",1347598.51,1380533.45,0,500,0
"CHUQUIBAMBA",4520721.99,7363332.9,0,292,0
"GRANADA",1552396.64,1366421.08,0,400,0
"HUANCAS",1207288.29,985610.43,0,450,0
"LA JALCA",2690909.32,2914129.12,0,2800,0
"LEIMEBAMBA",3917539.77,7036000.82,0,1500,0
"LEVANTO",1551129.19,1576354.1,0,1000,0
"MAGDALENA",826320.1,1330932.9,0,230,0
"MARISCAL CASTILLA",2926378.5,2907461.07,1,120,0
"MOLINOPAMPA",6166995.3,7087542.7,0,600,0
"MONTEVIDEO",1265823.27,1782608.69,1,1500,0
"OLLEROS",932980.7,1012067.17,0,96,0
"QUINJALCA",2558414.37,2373531.1,0,13798.4666666667,0
"SAN FRANCISCO DE DAGUAS",1020618.85,527272.16,0,400,0
"SAN ISIDRO DE MAINO",7479327.78,7433945.34,0,230,0
"SOLOCO",978915.46,639362.41,1,75,0
"SONCHE",2014789.12,1297553.21,0,300,0
"BAGUA",32315207.08,31841783.04,17,1981,15
"ARAMANGO",8126313,7860632.36,1,1200,0
"COPALLIN",3127957.41,2240450.1,0,1400,1
"EL PARCO",6537269.92,5213409.52,1,500,0
"IMAZA",12077541.75,12125874.21,0,2600,0
"LA PECA",4608508.69,4715843.68,6,1800,2
"JUMBILLA",7573531.95,8761446.31,0,2560,0
"CHISQUILLA",2344843.36,2083982.34,0,500,0
"CHURUJA",756603.36,727017.06,0,250,0
"COROSHA",1961781.13,1539891.61,0,600,0
"CUISPES",901689.39,898005.5,0,270,0
"FLORIDA",12519748.51,11162654.03,0,1247,0
"JAZAN",5193462.75,4080136.31,7,4100,5
"RECTA",1413215.77,1308876.4,0,44,0
"SAN CARLOS",2636448.86,4912706.54,1,300,0
"SHIPASBAMBA",3909029.12,3241162.45,0,643,0
"VALERA",1061424.94,963300.86,0,350,0
"YAMBRASBAMBA",4972787.48,3983021.99,0,800,0
"NIEVA",33031309.2,32133660.62,20,4500,0
"EL CENEPA",9845890.63,8274214.83,2,13798.4666666667,0
"RIO SANTIAGO",13577972.64,11304341.09,10,1000,4
"LAMUD",29507823.62,32012218.34,0,2000,0
"CAMPORREDONDO",10640722.51,9294845.58,2,15000,0
"COCABAMBA",2099451.01,1979194.37,0,300,0
"COLCAMAR",1200854.35,956229.23,0,800,0
"CONILA",1361044.71,1370113.28,1,1500,0
"INGUILPATA",1670319.5,1029612.23,0,198,0
"LONGUITA",6924471.14,6835800.6,0,30,0
"LONYA CHICO",2570592.85,2497007.57,0,900,0
"LUYA",2492333.37,2358248.45,0,1036,0
"LUYA VIEJO",1354920.21,1653450.54,0,52,0
"MARIA",4212195.95,4218284.4,0,50,0
"OCALLI",3259852.8,2884671.42,0,250,0
"OCUMAL",7745810.49,6749415.1,0,500,0
"PISUQUIA",14443473.22,14474591.68,0,13798.4666666667,0
"PROVIDENCIA",1544527.5,1607399.18,0,20,0
"SAN CRISTOBAL",1843986.15,1550859.81,0,800,0
"SAN FRANCISCO DEL YESO",926584.92,885254.75,0,245,0
"SAN JERONIMO",1672038.57,1712171.66,0,1200,0
"SAN JUAN DE LOPECANCHA",1276913.7,1398074.19,0,15,0
"SANTA CATALINA",3024151.54,4910773.47,0,60,0
"SANTO TOMAS",2675009.49,2655706.36,0,50,0
"TINGO",1370513.04,829081.96,1,800,0
"TRITA",1665783.14,1638759.15,0,484,0
"SAN NICOLAS",10717632.27,11803551.74,6,5000,0
"CHIRIMOTO",1673379.62,1769368.13,0,100,0
"COCHAMAL",997764.38,1102997.58,1,350,0
"HUAMBO",12184196.52,11656751.07,0,1800,0
"LIMABAMBA",8323204.69,7870484.26,0,500,0
"LONGAR",799479.4,812373.22,0,700,0
"MARISCAL BENAVIDES",869961.39,898435.42,0,857,0
"MILPUC",762738.95,735010.36,3,300,0
"OMIA",7030920.95,6113582.77,0,1400,0
"SANTA ROSA",2095104.83,1824529.76,0,500,0
"TOTORA",1039540.54,2517967.29,1,80,0
"VISTA ALEGRE",6878796.42,4684654.02,0,40,0
"BAGUA GRANDE",67888992.71,63770896.52,17,30558,0
"CAJARURO",19448849.44,14740410.24,1,1200,0
